ID_REF	VALUE
R10 - C20 : 16	159.99
R10 - C20 : 2	53.59
R10 - C20 : 3	85.10
R10 - C20 : 4	28.31
R10 - C20 : 5	114.15
R10 - C20 : 6	89.24
R10 - C20 : 7	95.03
R10 - C20 : 8	129.95
R10 - C20 : 9	52.67
R10 - C21 : 1	108.59
R10 - C21 : 10	66.83
R10 - C21 : 11	48.90
R10 - C21 : 12	17.95
R10 - C21 : 13	40.83
R10 - C21 : 14	26.66
R10 - C21 : 15	103.03
R10 - C21 : 16	367.01
R10 - C21 : 2	17.24
R10 - C21 : 3	66.99
R10 - C21 : 4	87.29
R10 - C21 : 5	69.83
R10 - C21 : 6	32.97
R10 - C21 : 7	26.84
R10 - C21 : 8	7.78
R10 - C21 : 9	39.93
R10 - C22 : 1	160.34
R10 - C22 : 10	104.08
R10 - C22 : 11	111.54
R10 - C22 : 12	81.63
R10 - C22 : 13	23.46
R10 - C22 : 14	224.61
R10 - C22 : 15	227.89
R10 - C22 : 16	142.50
R10 - C22 : 2	22.74
R10 - C22 : 3	255.09
R10 - C22 : 4	40.01
R10 - C22 : 5	61.18
R10 - C22 : 6	104.31
R10 - C22 : 7	15.31
R10 - C22 : 8	58.35
R10 - C22 : 9	108.51
R10 - C23 : 1	78.74
R10 - C23 : 10	84.64
R10 - C23 : 11	17.00
R10 - C23 : 12	80.46
R10 - C23 : 13	13.04
R10 - C23 : 14	140.09
R10 - C23 : 15	11.05
R10 - C23 : 16	95.38
R10 - C23 : 2	207.53
R10 - C23 : 3	159.57
R10 - C23 : 4	86.31
R10 - C23 : 5	132.87
R10 - C23 : 6	39.80
R10 - C23 : 7	716.09
R10 - C23 : 8	100.44
R10 - C23 : 9	5.95
R10 - C24 : 1	44.36
R10 - C24 : 10	85.01
R10 - C24 : 11	32.80
R10 - C24 : 12	70.65
R10 - C24 : 13	0.00
R10 - C24 : 14	136.69
R10 - C24 : 15	111.88
R10 - C24 : 16	0.00
R10 - C24 : 2	20.57
R10 - C24 : 3	76.28
R10 - C24 : 4	53.07
R10 - C24 : 5	119.33
R10 - C24 : 6	56.62
R10 - C24 : 7	54.60
R10 - C24 : 8	95.89
R10 - C24 : 9	45.08
R10 - C3 : 1	16.11
R10 - C3 : 10	9.11
R10 - C3 : 11	66.06
R10 - C3 : 12	58.56
R10 - C3 : 13	0.00
R10 - C3 : 14	174.65
R10 - C3 : 15	132.24
R10 - C3 : 16	137.90
R10 - C3 : 2	27.29
R10 - C3 : 3	56.30
R10 - C3 : 4	41.93
R10 - C3 : 5	0.00
R10 - C3 : 6	30.70
R10 - C3 : 7	114.82
R10 - C3 : 8	94.79
R10 - C3 : 9	88.02
R10 - C4 : 1	76.24
R10 - C4 : 10	0.00
R10 - C4 : 11	63.93
R10 - C4 : 12	7.17
R10 - C4 : 13	61.68
R10 - C4 : 14	138.81
R10 - C4 : 15	105.25
R10 - C4 : 16	242.64
R10 - C4 : 2	83.27
R10 - C4 : 3	189.84
R10 - C4 : 4	37.02
R10 - C4 : 5	81.01
R10 - C4 : 6	27.96
R10 - C4 : 7	199.98
R10 - C4 : 8	17.60
R10 - C4 : 9	0.00
R10 - C5 : 1	98.85
R10 - C5 : 10	76.99
R10 - C5 : 11	191.96
R10 - C5 : 12	77.74
R10 - C5 : 13	37.49
R10 - C5 : 14	314.80
R10 - C5 : 15	131.33
R10 - C5 : 16	0.00
R10 - C5 : 2	110.55
R10 - C5 : 3	69.39
R10 - C5 : 4	15.65
R10 - C5 : 5	13.35
R10 - C5 : 6	240.71
R10 - C5 : 7	78.49
R10 - C5 : 8	48.95
R10 - C5 : 9	22.63
R10 - C6 : 1	308.79
R10 - C6 : 10	34.86
R10 - C6 : 11	244.14
R10 - C6 : 12	25.17
R10 - C6 : 13	20.54
R10 - C6 : 14	94.01
R10 - C6 : 15	0.00
R10 - C6 : 16	118.31
R10 - C6 : 2	150.73
R10 - C6 : 3	126.40
R10 - C6 : 4	15.54
R10 - C6 : 5	44.78
R10 - C6 : 6	17.80
R10 - C6 : 7	79.30
R10 - C6 : 8	90.34
R10 - C6 : 9	24.96
R10 - C7 : 1	46.39
R10 - C7 : 10	31.57
R10 - C7 : 11	0.00
R10 - C7 : 12	107.39
R10 - C7 : 13	44.65
R10 - C7 : 14	73.88
R10 - C7 : 15	25.51
R10 - C7 : 16	75.19
R10 - C7 : 2	25.36
R10 - C7 : 3	49.31
R10 - C7 : 4	12.39
R10 - C7 : 5	51.24
R10 - C7 : 6	84.44
R10 - C7 : 7	438.53
R10 - C7 : 8	26.34
R10 - C7 : 9	25.34
R10 - C8 : 1	107.59
R10 - C8 : 10	33.12
R10 - C8 : 11	51.05
R10 - C8 : 12	171.98
R10 - C8 : 13	0.00
R10 - C8 : 14	41.46
R10 - C8 : 15	203.06
R10 - C8 : 16	65.85
R10 - C8 : 2	22.63
R10 - C8 : 3	122.34
R10 - C8 : 4	48.67
R10 - C8 : 5	143.79
R10 - C8 : 6	170.44
R10 - C8 : 7	207.38
R10 - C8 : 8	31.35
R10 - C8 : 9	95.63
R10 - C9 : 1	39.17
R10 - C9 : 10	52.27
R10 - C9 : 11	28.37
R10 - C9 : 12	0.00
R10 - C9 : 13	13.66
R10 - C9 : 14	377.34
R10 - C9 : 15	63.99
R10 - C9 : 16	80.36
R10 - C9 : 2	39.54
R10 - C9 : 3	15.55
R10 - C9 : 4	325.57
R10 - C9 : 5	50.95
R10 - C9 : 6	53.61
R10 - C9 : 7	278.80
R10 - C9 : 8	83.81
R10 - C9 : 9	59.11
R11 - C1 : 1	73.24
R11 - C1 : 10	32.75
R11 - C1 : 11	79.05
R11 - C1 : 12	50.09
R11 - C1 : 13	46.79
R11 - C1 : 14	115.15
R11 - C1 : 15	114.51
R11 - C1 : 16	44.38
R11 - C1 : 2	9.56
R11 - C1 : 3	351.73
R11 - C1 : 4	314.73
R11 - C1 : 5	16.73
R11 - C1 : 6	34.16
R11 - C1 : 7	60.40
R11 - C1 : 8	44.60
R11 - C1 : 9	56.06
R11 - C10 : 1	69.05
R11 - C10 : 10	175.56
R11 - C10 : 11	3.88
R11 - C10 : 12	36.87
R11 - C10 : 13	19.50
R11 - C10 : 14	68.87
R11 - C10 : 15	69.31
R11 - C10 : 16	43.32
R11 - C10 : 2	0.00
R11 - C10 : 3	96.66
R11 - C10 : 4	35.30
R11 - C10 : 5	20.19
R11 - C10 : 6	7.98
R11 - C10 : 7	45.21
R11 - C10 : 8	36.27
R11 - C10 : 9	14.62
R11 - C11 : 1	69.37
R11 - C11 : 10	106.22
R11 - C11 : 11	22.64
R11 - C11 : 12	188.21
R11 - C11 : 13	31.33
R11 - C11 : 14	440.69
R11 - C11 : 15	24.21
R11 - C11 : 16	43.86
R11 - C11 : 2	82.48
R11 - C11 : 3	0.00
R11 - C11 : 4	25.22
R11 - C11 : 5	43.05
R11 - C11 : 6	89.65
R11 - C11 : 7	47.57
R11 - C11 : 8	196.88
R11 - C11 : 9	748.57
R11 - C12 : 1	37.14
R11 - C12 : 10	55.61
R11 - C12 : 11	75.98
R11 - C12 : 12	64.38
R11 - C12 : 13	0.00
R11 - C12 : 14	237.11
R11 - C12 : 15	88.14
R11 - C12 : 16	156.83
R11 - C12 : 2	100.68
R11 - C12 : 3	24.07
R11 - C12 : 4	22.31
R11 - C12 : 5	87.51
R11 - C12 : 6	154.49
R11 - C12 : 7	62.15
R11 - C12 : 8	54.41
R11 - C12 : 9	54.47
R11 - C13 : 1	372.48
R11 - C13 : 10	34.12
R11 - C13 : 11	28.13
R11 - C13 : 12	0.00
R11 - C13 : 13	222.07
R11 - C13 : 14	121.29
R11 - C13 : 15	13.34
R11 - C13 : 16	60.91
R11 - C13 : 2	18.11
R11 - C13 : 3	53.38
R11 - C13 : 4	81.41
R11 - C13 : 5	169.81
R11 - C13 : 6	94.20
R11 - C13 : 7	76.20
R11 - C13 : 8	126.61
R11 - C13 : 9	33.05
R11 - C14 : 1	118.65
R11 - C14 : 10	53.60
R11 - C14 : 11	25.38
R11 - C14 : 12	200.12
R11 - C14 : 13	9.94
R11 - C14 : 14	102.02
R11 - C14 : 15	160.96
R11 - C14 : 16	74.42
R11 - C14 : 2	224.46
R11 - C14 : 3	445.03
R11 - C14 : 4	50.40
R11 - C14 : 5	85.51
R11 - C14 : 6	114.53
R11 - C14 : 7	38.29
R11 - C14 : 8	74.14
R11 - C14 : 9	66.56
R11 - C15 : 1	348.15
R11 - C15 : 10	53.72
R11 - C15 : 11	58.68
R11 - C15 : 12	0.00
R11 - C15 : 13	30.45
R11 - C15 : 14	208.83
R11 - C15 : 15	788.68
R11 - C15 : 16	11.30
R11 - C15 : 2	10.61
R11 - C15 : 3	115.77
R11 - C15 : 4	76.50
R11 - C15 : 5	101.16
R11 - C15 : 6	28.69
R11 - C15 : 7	201.42
R11 - C15 : 8	109.36
R11 - C15 : 9	91.91
R11 - C16 : 1	29.99
R11 - C16 : 10	19.96
R11 - C16 : 11	278.63
R11 - C16 : 12	88.21
R11 - C16 : 13	16.68
R11 - C16 : 14	355.57
R11 - C16 : 15	103.65
R11 - C16 : 16	93.26
R11 - C16 : 2	85.65
R11 - C16 : 3	266.34
R11 - C16 : 4	52.19
R11 - C16 : 5	41.54
R11 - C16 : 6	32.32
R11 - C16 : 7	428.00
R11 - C16 : 8	177.67
R11 - C16 : 9	17.41
R11 - C17 : 1	80.55
R11 - C17 : 10	0.00
R11 - C17 : 11	55.92
R11 - C17 : 12	15.33
R11 - C17 : 13	80.45
R11 - C17 : 14	266.18
R11 - C17 : 15	110.33
R11 - C17 : 16	49.66
R11 - C17 : 2	60.33
R11 - C17 : 3	0.00
R11 - C17 : 4	269.76
R11 - C17 : 5	111.54
R11 - C17 : 6	454.97
R11 - C17 : 7	66.90
R11 - C17 : 8	49.28
R11 - C17 : 9	114.67
R11 - C18 : 1	68.29
R11 - C18 : 10	11.10
R11 - C18 : 11	20.60
R11 - C18 : 12	68.28
R11 - C18 : 13	0.00
R11 - C18 : 14	81.86
R11 - C18 : 15	55.88
R11 - C18 : 16	75.99
R11 - C18 : 2	61.14
R11 - C18 : 3	20.93
R11 - C18 : 4	164.56
R11 - C18 : 5	20.85
R11 - C18 : 6	59.27
R11 - C18 : 7	281.58
R11 - C18 : 8	58.49
R11 - C18 : 9	0.00
R11 - C19 : 1	20.77
R11 - C19 : 10	33.77
