ID_REF	VALUE
R10 - C14 : 1	42.13
R10 - C14 : 10	112.02
R10 - C14 : 11	295.64
R10 - C14 : 12	60.46
R10 - C14 : 13	12.65
R10 - C14 : 14	360.65
R10 - C14 : 15	77.54
R10 - C14 : 16	24.69
R10 - C14 : 2	70.50
R10 - C14 : 3	316.70
R10 - C14 : 4	56.44
R10 - C14 : 5	48.08
R10 - C14 : 6	7.20
R10 - C14 : 7	404.96
R10 - C14 : 8	61.03
R10 - C14 : 9	59.14
R10 - C15 : 1	196.28
R10 - C15 : 10	51.15
R10 - C15 : 11	25.00
R10 - C15 : 12	33.14
R10 - C15 : 13	75.42
R10 - C15 : 14	252.63
R10 - C15 : 15	33.78
R10 - C15 : 16	85.09
R10 - C15 : 2	83.38
R10 - C15 : 3	0.00
R10 - C15 : 4	30.87
R10 - C15 : 5	29.62
R10 - C15 : 6	131.03
R10 - C15 : 7	148.35
R10 - C15 : 8	54.17
R10 - C15 : 9	66.13
R10 - C16 : 1	97.72
R10 - C16 : 10	5.75
R10 - C16 : 11	48.57
R10 - C16 : 12	238.54
R10 - C16 : 13	22.53
R10 - C16 : 14	69.76
R10 - C16 : 15	401.91
R10 - C16 : 16	42.35
R10 - C16 : 2	63.76
R10 - C16 : 3	17.50
R10 - C16 : 4	115.90
R10 - C16 : 5	233.33
R10 - C16 : 6	97.28
R10 - C16 : 7	131.68
R10 - C16 : 8	48.51
R10 - C16 : 9	77.44
R10 - C17 : 1	25.21
R10 - C17 : 10	99.90
R10 - C17 : 11	71.77
R10 - C17 : 12	69.62
R10 - C17 : 13	135.15
R10 - C17 : 14	182.61
R10 - C17 : 15	118.74
R10 - C17 : 16	67.81
R10 - C17 : 2	46.73
R10 - C17 : 3	33.88
R10 - C17 : 4	65.97
R10 - C17 : 5	35.24
R10 - C17 : 6	150.01
R10 - C17 : 7	84.34
R10 - C17 : 8	131.29
R10 - C17 : 9	18.14
R10 - C18 : 1	103.87
R10 - C18 : 10	61.48
R10 - C18 : 11	28.73
R10 - C18 : 12	56.90
R10 - C18 : 13	40.49
R10 - C18 : 14	326.52
R10 - C18 : 15	1051.18
R10 - C18 : 16	70.22
R10 - C18 : 2	320.59
R10 - C18 : 3	90.45
R10 - C18 : 4	812.53
R10 - C18 : 5	119.82
R10 - C18 : 6	83.22
R10 - C18 : 7	149.48
R10 - C18 : 8	96.50
R10 - C18 : 9	45.50
R10 - C19 : 1	39.96
R10 - C19 : 10	37.13
R10 - C19 : 11	148.10
R10 - C19 : 12	23.02
R10 - C19 : 13	21.23
R10 - C19 : 14	217.65
R10 - C19 : 15	18.32
R10 - C19 : 16	32.51
R10 - C19 : 2	320.03
R10 - C19 : 3	414.42
R10 - C19 : 4	64.78
R10 - C19 : 5	24.84
R10 - C19 : 6	127.02
R10 - C19 : 7	15.27
R10 - C19 : 8	31.36
R10 - C19 : 9	18.73
R10 - C2 : 1	86.50
R10 - C2 : 10	24.06
R10 - C2 : 11	131.46
R10 - C2 : 12	3.53
R10 - C2 : 13	9.35
R10 - C2 : 14	63.44
R10 - C2 : 15	35.87
R10 - C2 : 16	21.92
R10 - C2 : 2	25.44
R10 - C2 : 3	120.33
R10 - C2 : 4	34.45
R10 - C2 : 5	13.65
R10 - C2 : 6	50.37
R10 - C2 : 7	60.09
