ID_REF	VALUE
R11 - C11 : 9	519.24
R11 - C12 : 1	32.03
R11 - C12 : 10	86.96
R11 - C12 : 11	122.85
R11 - C12 : 12	62.56
R11 - C12 : 13	0.00
R11 - C12 : 14	333.18
R11 - C12 : 15	80.97
R11 - C12 : 16	322.29
R11 - C12 : 2	109.25
R11 - C12 : 3	26.29
R11 - C12 : 4	22.34
R11 - C12 : 5	89.27
R11 - C12 : 6	564.72
R11 - C12 : 7	80.42
R11 - C12 : 8	74.33
R11 - C12 : 9	76.51
R11 - C13 : 1	351.97
R11 - C13 : 10	43.51
R11 - C13 : 11	23.02
R11 - C13 : 12	0.00
R11 - C13 : 13	236.79
R11 - C13 : 14	138.97
R11 - C13 : 15	21.00
R11 - C13 : 16	123.62
R11 - C13 : 2	18.29
R11 - C13 : 3	46.91
R11 - C13 : 4	72.85
R11 - C13 : 5	169.63
R11 - C13 : 6	197.60
R11 - C13 : 7	57.01
R11 - C13 : 8	134.31
R11 - C13 : 9	39.65
R11 - C14 : 1	129.91
R11 - C14 : 10	47.41
R11 - C14 : 11	20.17
R11 - C14 : 12	179.74
R11 - C14 : 13	0.00
R11 - C14 : 14	119.65
R11 - C14 : 15	119.44
R11 - C14 : 16	76.18
R11 - C14 : 2	235.29
R11 - C14 : 3	649.66
R11 - C14 : 4	61.17
R11 - C14 : 5	38.39
R11 - C14 : 6	181.54
R11 - C14 : 7	31.91
R11 - C14 : 8	49.72
R11 - C14 : 9	78.23
R11 - C15 : 1	299.74
R11 - C15 : 10	41.15
R11 - C15 : 11	50.51
R11 - C15 : 12	0.00
R11 - C15 : 13	35.97
R11 - C15 : 14	265.59
R11 - C15 : 15	918.87
R11 - C15 : 16	17.33
R11 - C15 : 2	0.00
R11 - C15 : 3	127.93
R11 - C15 : 4	79.97
R11 - C15 : 5	97.47
R11 - C15 : 6	22.47
R11 - C15 : 7	94.62
R11 - C15 : 8	125.81
R11 - C15 : 9	151.81
R11 - C16 : 1	59.01
R11 - C16 : 10	27.67
R11 - C16 : 11	555.51
R11 - C16 : 12	138.83
R11 - C16 : 13	11.92
R11 - C16 : 14	425.12
R11 - C16 : 15	132.14
R11 - C16 : 16	65.01
R11 - C16 : 2	134.43
R11 - C16 : 3	269.56
R11 - C16 : 4	57.21
R11 - C16 : 5	35.20
R11 - C16 : 6	29.21
R11 - C16 : 7	614.89
R11 - C16 : 8	143.03
R11 - C16 : 9	12.67
R11 - C17 : 1	47.81
R11 - C17 : 10	9.82
R11 - C17 : 11	45.39
R11 - C17 : 12	13.64
R11 - C17 : 13	91.82
R11 - C17 : 14	282.37
R11 - C17 : 15	106.73
R11 - C17 : 16	45.44
R11 - C17 : 2	95.14
R11 - C17 : 3	0.00
R11 - C17 : 4	95.98
R11 - C17 : 5	99.60
R11 - C17 : 6	1266.38
R11 - C17 : 7	104.22
R11 - C17 : 8	57.92
R11 - C17 : 9	34.83
R11 - C18 : 1	91.96
R11 - C18 : 10	6.31
R11 - C18 : 11	9.85
R11 - C18 : 12	42.19
R11 - C18 : 13	0.00
R11 - C18 : 14	99.58
R11 - C18 : 15	80.22
R11 - C18 : 16	28.81
R11 - C18 : 2	64.69
R11 - C18 : 3	19.88
R11 - C18 : 4	103.35
R11 - C18 : 5	20.50
R11 - C18 : 6	114.86
R11 - C18 : 7	161.08
R11 - C18 : 8	46.03
R11 - C18 : 9	0.00
R11 - C19 : 1	22.62
R11 - C19 : 10	38.49
