ID_REF	VALUE
R10 - C16 : 12	148.68
R10 - C16 : 13	13.99
R10 - C16 : 14	31.42
R10 - C16 : 15	223.66
R10 - C16 : 16	35.35
R10 - C16 : 2	45.96
R10 - C16 : 3	13.12
R10 - C16 : 4	77.19
R10 - C16 : 5	207.38
R10 - C16 : 6	57.33
R10 - C16 : 7	109.35
R10 - C16 : 8	32.36
R10 - C16 : 9	59.20
R10 - C17 : 1	26.80
R10 - C17 : 10	50.16
R10 - C17 : 11	48.40
R10 - C17 : 12	50.49
R10 - C17 : 13	150.49
R10 - C17 : 14	87.80
R10 - C17 : 15	102.10
R10 - C17 : 16	27.18
R10 - C17 : 2	37.37
R10 - C17 : 3	27.80
R10 - C17 : 4	39.22
R10 - C17 : 5	29.43
R10 - C17 : 6	119.66
R10 - C17 : 7	90.06
R10 - C17 : 8	49.09
R10 - C17 : 9	8.74
R10 - C18 : 1	104.49
R10 - C18 : 10	14.42
R10 - C18 : 11	25.98
R10 - C18 : 12	32.82
R10 - C18 : 13	16.83
R10 - C18 : 14	221.92
R10 - C18 : 15	915.85
R10 - C18 : 16	66.37
R10 - C18 : 2	314.01
R10 - C18 : 3	71.43
R10 - C18 : 4	153.05
R10 - C18 : 5	210.07
R10 - C18 : 6	84.40
R10 - C18 : 7	56.01
R10 - C18 : 8	92.58
R10 - C18 : 9	35.25
R10 - C19 : 1	22.02
R10 - C19 : 10	37.93
R10 - C19 : 11	44.01
R10 - C19 : 12	17.56
R10 - C19 : 13	17.12
R10 - C19 : 14	128.51
R10 - C19 : 15	7.61
R10 - C19 : 16	9.50
R10 - C19 : 2	171.83
R10 - C19 : 3	962.29
R10 - C19 : 4	98.20
R10 - C19 : 5	15.95
R10 - C19 : 6	99.48
R10 - C19 : 7	10.02
R10 - C19 : 8	25.25
R10 - C19 : 9	4.98
R10 - C2 : 1	109.81
R10 - C2 : 10	28.00
R10 - C2 : 11	63.27
R10 - C2 : 12	0.00
R10 - C2 : 13	12.92
R10 - C2 : 14	52.49
R10 - C2 : 15	40.44
R10 - C2 : 16	21.86
R10 - C2 : 2	22.81
R10 - C2 : 3	133.02
R10 - C2 : 4	26.10
R10 - C2 : 5	12.69
R10 - C2 : 6	50.87
R10 - C2 : 7	50.45
R10 - C2 : 8	13.39
R10 - C2 : 9	20.86
R10 - C20 : 1	77.22
R10 - C20 : 10	97.58
R10 - C20 : 11	35.99
R10 - C20 : 12	69.20
R10 - C20 : 13	9.26
R10 - C20 : 14	143.79
R10 - C20 : 15	23.86
R10 - C20 : 16	59.82
R10 - C20 : 2	45.96
R10 - C20 : 3	59.53
R10 - C20 : 4	25.84
R10 - C20 : 5	71.36
R10 - C20 : 6	37.35
R10 - C20 : 7	63.02
R10 - C20 : 8	48.22
R10 - C20 : 9	34.38
R10 - C21 : 1	49.77
R10 - C21 : 10	59.95
R10 - C21 : 11	32.24
R10 - C21 : 12	17.39
R10 - C21 : 13	28.42
R10 - C21 : 14	24.66
R10 - C21 : 15	51.51
R10 - C21 : 16	161.11
R10 - C21 : 2	23.88
R10 - C21 : 3	70.51
R10 - C21 : 4	34.35
R10 - C21 : 5	70.12
R10 - C21 : 6	18.05
R10 - C21 : 7	23.03
R10 - C21 : 8	7.19
R10 - C21 : 9	13.27
R10 - C22 : 1	82.74
R10 - C22 : 10	141.56
R10 - C22 : 11	65.04
R10 - C22 : 12	58.75
R10 - C22 : 13	5.04
R10 - C22 : 14	96.67
R10 - C22 : 15	118.86
R10 - C22 : 16	33.77
R10 - C22 : 2	17.84
R10 - C22 : 3	128.18
R10 - C22 : 4	30.92
R10 - C22 : 5	64.94
R10 - C22 : 6	79.16
R10 - C22 : 7	8.84
R10 - C22 : 8	22.71
R10 - C22 : 9	287.78
R10 - C23 : 1	99.08
R10 - C23 : 10	78.08
R10 - C23 : 11	17.37
R10 - C23 : 12	48.43
R10 - C23 : 13	11.06
R10 - C23 : 14	54.55
R10 - C23 : 15	4.72
R10 - C23 : 16	111.59
R10 - C23 : 2	208.17
R10 - C23 : 3	98.15
R10 - C23 : 4	54.87
R10 - C23 : 5	126.67
R10 - C23 : 6	21.12
R10 - C23 : 7	532.63
R10 - C23 : 8	76.68
R10 - C23 : 9	8.91
R10 - C24 : 1	14.00
R10 - C24 : 10	76.35
R10 - C24 : 11	21.72
R10 - C24 : 12	65.39
R10 - C24 : 13	39.74
R10 - C24 : 14	138.66
R10 - C24 : 15	39.85
R10 - C24 : 16	0.00
R10 - C24 : 2	43.53
R10 - C24 : 3	41.51
R10 - C24 : 4	67.02
R10 - C24 : 5	59.22
R10 - C24 : 6	50.79
R10 - C24 : 7	39.04
R10 - C24 : 8	88.92
R10 - C24 : 9	27.01
R10 - C3 : 1	14.18
R10 - C3 : 10	2.91
R10 - C3 : 11	42.27
R10 - C3 : 12	44.73
R10 - C3 : 13	9.98
R10 - C3 : 14	53.93
R10 - C3 : 15	66.55
R10 - C3 : 16	81.10
R10 - C3 : 2	21.33
R10 - C3 : 3	69.10
R10 - C3 : 4	47.43
R10 - C3 : 5	1.43
R10 - C3 : 6	9.23
R10 - C3 : 7	41.54
R10 - C3 : 8	37.86
R10 - C3 : 9	152.40
R10 - C4 : 1	66.39
R10 - C4 : 10	0.00
R10 - C4 : 11	59.01
R10 - C4 : 12	8.26
R10 - C4 : 13	6.79
R10 - C4 : 14	131.06
R10 - C4 : 15	82.10
R10 - C4 : 16	237.08
R10 - C4 : 2	70.80
R10 - C4 : 3	150.22
R10 - C4 : 4	27.92
R10 - C4 : 5	62.36
R10 - C4 : 6	14.09
R10 - C4 : 7	151.47
R10 - C4 : 8	11.59
R10 - C4 : 9	8.69
R10 - C5 : 1	86.83
R10 - C5 : 10	37.21
R10 - C5 : 11	116.81
R10 - C5 : 12	56.61
R10 - C5 : 13	17.19
R10 - C5 : 14	119.06
R10 - C5 : 15	92.77
R10 - C5 : 16	0.00
R10 - C5 : 2	62.54
R10 - C5 : 3	149.22
R10 - C5 : 4	21.62
R10 - C5 : 5	12.50
R10 - C5 : 6	129.63
R10 - C5 : 7	45.86
R10 - C5 : 8	52.38
R10 - C5 : 9	20.83
R10 - C6 : 1	165.08
R10 - C6 : 10	44.16
R10 - C6 : 11	334.57
R10 - C6 : 12	28.62
R10 - C6 : 13	5.63
R10 - C6 : 14	71.05
R10 - C6 : 15	0.00
R10 - C6 : 16	41.35
R10 - C6 : 2	80.04
R10 - C6 : 3	129.74
R10 - C6 : 4	13.64
R10 - C6 : 5	43.31
R10 - C6 : 6	20.63
R10 - C6 : 7	55.75
R10 - C6 : 8	68.35
R10 - C6 : 9	26.40
R10 - C7 : 1	51.62
R10 - C7 : 10	8.67
R10 - C7 : 11	0.00
R10 - C7 : 12	120.75
R10 - C7 : 13	18.85
R10 - C7 : 14	57.56
R10 - C7 : 15	12.75
R10 - C7 : 16	42.00
R10 - C7 : 2	23.52
R10 - C7 : 3	62.97
R10 - C7 : 4	7.09
R10 - C7 : 5	32.54
R10 - C7 : 6	29.43
R10 - C7 : 7	244.09
R10 - C7 : 8	17.24
R10 - C7 : 9	20.25
R10 - C8 : 1	57.26
R10 - C8 : 10	25.72
R10 - C8 : 11	30.72
R10 - C8 : 12	86.17
R10 - C8 : 13	0.00
R10 - C8 : 14	60.80
R10 - C8 : 15	130.16
R10 - C8 : 16	38.94
R10 - C8 : 2	14.96
R10 - C8 : 3	57.93
R10 - C8 : 4	30.34
R10 - C8 : 5	121.62
R10 - C8 : 6	115.46
R10 - C8 : 7	132.05
R10 - C8 : 8	25.29
R10 - C8 : 9	82.22
R10 - C9 : 1	30.22
R10 - C9 : 10	18.59
R10 - C9 : 11	16.10
R10 - C9 : 12	9.66
R10 - C9 : 13	0.00
R10 - C9 : 14	171.55
R10 - C9 : 15	48.22
R10 - C9 : 16	67.40
R10 - C9 : 2	28.18
R10 - C9 : 3	240.55
R10 - C9 : 4	250.33
R10 - C9 : 5	38.94
R10 - C9 : 6	46.35
R10 - C9 : 7	124.27
R10 - C9 : 8	68.66
R10 - C9 : 9	60.20
R11 - C1 : 1	43.67
R11 - C1 : 10	11.19
R11 - C1 : 11	37.16
R11 - C1 : 12	30.02
R11 - C1 : 13	7.47
R11 - C1 : 14	46.09
R11 - C1 : 15	57.54
R11 - C1 : 16	24.41
R11 - C1 : 2	5.77
R11 - C1 : 3	226.27
R11 - C1 : 4	180.19
R11 - C1 : 5	7.93
R11 - C1 : 6	47.96
R11 - C1 : 7	37.36
R11 - C1 : 8	17.11
R11 - C1 : 9	9.55
R11 - C10 : 1	60.73
R11 - C10 : 10	67.27
R11 - C10 : 11	3.93
R11 - C10 : 12	60.81
R11 - C10 : 13	3.39
R11 - C10 : 14	67.38
R11 - C10 : 15	56.23
R11 - C10 : 16	15.83
R11 - C10 : 2	5.28
R11 - C10 : 3	90.72
R11 - C10 : 4	15.87
R11 - C10 : 5	14.93
R11 - C10 : 6	3.70
R11 - C10 : 7	39.58
